pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,cid,cycle,name
C00027342,,D000000069,International Brotherhood of Electrical Workers,20000,20000,0,2024-05-21 00:00:00 +0000,1,x," ",0,D000000069,N00035451,2024,adams-alma
C00028860,,D000000083,American Federation of Teachers,10000,10000,0,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00035451,2024,adams-alma
C00194746,,"          ",Blue Cross & Blue Shield Assn,10000,10000,0,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00035451,2024,adams-alma
C00284885,,D000000419,Home Depot,10000,10000,0,2024-05-21 00:00:00 +0000,2,x," ",0,D000000419,N00035451,2024,adams-alma
C00386524,,D000072145,Truist Financial,10000,10000,0,2024-05-21 00:00:00 +0000,2," "," ",0,"          ",N00035451,2024,adams-alma
C90011172,,D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00035451,2024,adams-alma
C00007542,,D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00035451,2024,adams-alma
C00064766,,D000000081,United Parcel Service,7500,7500,0,2024-05-21 00:00:00 +0000,6," "," ",0,"          ",N00035451,2024,adams-alma
"         ",,D000107064,A Preferred Women's Health Center,7125,0,7125,2024-05-21 00:00:00 +0000,9," "," ",0,"          ",N00035451,2024,adams-alma
C00083535,,D000000477,Duke Energy,6350,6000,350,2024-05-21 00:00:00 +0000,10,x," ",0,D000000477,N00035451,2024,adams-alma
C00426775,,D000000672,Charter Communications,6000,6000,0,2024-05-21 00:00:00 +0000,11," "," ",0,"          ",N00035451,2024,adams-alma
C00010868,,D000000682,American Council of Engineering Cos,5500,5500,0,2024-05-21 00:00:00 +0000,12," "," ",0,"          ",N00035451,2024,adams-alma
C00358903,,D000067129,American Assn of Nurse Practitioners,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00110338,,D000000219,American Crystal Sugar,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00010322,,D000000143,American Postal Workers Union,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00001016,,D000000073,Carpenters & Joiners Union,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00033589,,D000000457,Corning Inc,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00096156,,D000000334,Honeywell International,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
C00251751,,D000027296,Lowe's Companies,5000,5000,0,2024-05-21 00:00:00 +0000,13," "," ",0,"          ",N00035451,2024,adams-alma
